participant_no,avg_rwa,intro_elapse_t,test_elapse_t,survey_elapse_t,country_ip,education_level,urban_classification,gender,english_native,age,handedness,religion,sexual_preference,race,voted,married,family_size,survey_accurate,major
15,6.7,16,193,130,SG,high school,urban,female,no,18,right,christian (protestant),heterosexual,asian,no,never married,2,TRUE,NA
16,4.8,763,267,108,CA,university degree,rural,female,no,28,right,agnostic,bisexual,white or indigenous australian or native american,no,never married,4,TRUE,NA
17,4.6,3,243,213,AU,high school,urban,female,yes,18,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
18,4.85,23,159,142,CA,less than high school,urban,female,yes,18,right,agnostic,other,other,no,never married,2,TRUE,NA
19,4.25,31,148,100,PH,university degree,urban,male,no,20,right,christian (catholic),heterosexual,asian,yes,never married,2,TRUE,political science
20,5.35,4,141,137,DE,graduate degree,urban,female,no,32,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,politics
21,5.55,429,145,134,AU,university degree,suburban,male,yes,53,right,atheist,bisexual,white or indigenous australian or native american,no,currently married,4,TRUE,geology
22,4.05,32,388,358,US,university degree,suburban,female,yes,28,right,atheist,heterosexual,white or indigenous australian or native american,no,previously married,3,TRUE,psychology
23,4.9,3,3435,661,GB,university degree,suburban,male,yes,20,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,emergency services
24,4.1,1007,410,137,US,graduate degree,rural,female,yes,26,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,5,TRUE,earth science education
25,5.05,4,162,90,GB,graduate degree,urban,female,yes,31,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,1,TRUE,psychology
26,3.8,5,275,181,US,high school,urban,female,yes,15,right,atheist,homosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
27,5.75,71,305,284,PT,high school,suburban,male,no,24,right,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,4,TRUE,NA
28,4.55,8,114,111,US,graduate degree,suburban,female,yes,32,right,other,homosexual,white or indigenous australian or native american,yes,never married,2,TRUE,civil engineering
29,5.1,10,134,94,US,graduate degree,suburban,male,yes,44,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,5,TRUE,biology
30,5.65,3,176,108,US,NA,suburban,female,yes,62,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,previously married,2,TRUE,english
31,4.4,13,170,101,AU,university degree,urban,female,yes,26,right,agnostic,heterosexual,asian,no,never married,3,TRUE,french
32,4.95,5,262,282,US,university degree,suburban,female,yes,30,right,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,liberal arts
33,5,3,485,451,SE,university degree,suburban,other,no,56,left,other,NA,NA,no,previously married,2,TRUE,psychology
34,4.95,30,268,122,FR,high school,suburban,male,no,18,right,atheist,NA,white or indigenous australian or native american,no,never married,2,TRUE,physics (planning to)
35,5.1,2,224,110,US,university degree,suburban,male,yes,58,right,christian (other),heterosexual,white or indigenous australian or native american,no,currently married,1,TRUE,yes
36,4.95,40,72,86,SG,high school,suburban,male,yes,16,both,atheist,bisexual,other,no,never married,2,TRUE,NA
37,5.05,6,86,73,US,high school,rural,male,yes,14,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,NA
38,5.1,7,170,99,US,high school,suburban,female,yes,17,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
39,5.05,4,179,117,TH,high school,suburban,female,yes,61,right,atheist,heterosexual,white or indigenous australian or native american,no,previously married,2,TRUE,NA
40,4.75,13,194,111,MY,high school,suburban,male,yes,16,right,christian (catholic),heterosexual,asian,no,never married,2,TRUE,NA
41,4.6,3,231,152,US,less than high school,rural,female,yes,48,right,christian (other),heterosexual,white or indigenous australian or native american,no,previously married,3,TRUE,NA
42,4.35,461,134,100,US,high school,urban,male,yes,17,both,jewish,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
43,5.1,3,139,110,US,university degree,suburban,male,yes,25,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,economics
44,4.5,8,273,100,US,high school,urban,female,yes,17,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,never married,4,TRUE,NA
45,5,20,174,134,IT,high school,suburban,male,no,23,both,atheist,bisexual,white or indigenous australian or native american,yes,never married,2,TRUE,NA
46,4.45,24,197,125,US,less than high school,suburban,other,yes,16,right,christian (catholic),bisexual,white or indigenous australian or native american,no,never married,4,TRUE,NA
47,4.7,42,441,116,IN,high school,suburban,male,no,18,right,atheist,heterosexual,asian,no,never married,2,TRUE,NA
48,4.85,2,182,154,US,university degree,rural,male,yes,46,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,accounting
49,5.2,2,145,108,US,high school,urban,male,yes,34,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
50,5.15,2,227,199,BR,high school,urban,male,no,18,both,agnostic,heterosexual,other,yes,never married,1,TRUE,eletrical engineering
51,5.5,221,118,96,US,high school,suburban,male,no,15,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,never married,4,TRUE,NA
52,4.45,17,165,113,GB,university degree,rural,male,yes,18,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,international relations
53,5.3,2,126,73,US,less than high school,suburban,female,yes,16,right,agnostic,bisexual,asian,no,never married,4,TRUE,NA
54,4.55,4,1275,16,US,university degree,urban,male,yes,49,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,currently married,7,TRUE,industrial science
55,5.05,3,178,94,US,less than high school,suburban,female,yes,15,right,other,bisexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
56,5.05,11,201,149,CA,university degree,suburban,female,yes,30,right,agnostic,heterosexual,arab,no,never married,3,TRUE,social work
57,5,2,140,125,AU,university degree,urban,male,yes,22,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,currently married,5,TRUE,law
58,3.6,353,213,106,TR,less than high school,urban,male,no,15,right,muslim,heterosexual,white or indigenous australian or native american,no,never married,1,TRUE,-0
59,5.2,60,311,108,US,high school,suburban,male,yes,14,right,agnostic,homosexual,other,no,never married,2,TRUE,NA
60,5.35,14,371,296,BG,university degree,urban,male,no,24,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,engineering
61,5.15,12,665,149,US,less than high school,suburban,female,yes,15,left,agnostic,asexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
62,4.25,9,177,108,US,high school,urban,female,yes,21,left,atheist,homosexual,white or indigenous australian or native american,no,never married,3,TRUE,graphic design
63,3.6,6,147,88,SE,less than high school,suburban,male,yes,15,right,atheist,heterosexual,asian,yes,never married,1,TRUE,NA
64,3.95,5,227,135,CA,university degree,suburban,male,yes,53,right,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,5,TRUE,political science
65,4.8,4,165,116,GB,less than high school,urban,female,yes,15,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
66,5.4,4,467,128,CA,university degree,suburban,male,yes,51,right,atheist,heterosexual,white or indigenous australian or native american,no,previously married,2,TRUE,english
67,4.1,2,309,451,US,high school,suburban,male,yes,19,right,christian (catholic),heterosexual,other,yes,never married,3,TRUE,NA
68,4.6,1,146,146,US,high school,suburban,female,yes,17,right,NA,bisexual,asian,no,never married,2,TRUE,NA
69,5.35,2,252,182,US,high school,urban,male,yes,42,right,christian (other),asexual,black,no,never married,3,TRUE,chemistry
70,4.75,8,130,322,MX,high school,urban,female,no,18,right,atheist,asexual,white or indigenous australian or native american,no,never married,0,TRUE,NA
71,5.05,201,156,141,FR,less than high school,rural,female,no,16,right,other,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
72,5.5,14,433,185,PT,high school,rural,female,no,18,right,atheist,homosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
73,3.45,15,321,185,PL,less than high school,suburban,female,no,17,right,christian (catholic),bisexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
74,5.7,5,141,112,US,graduate degree,rural,male,yes,36,right,christian (other),asexual,white or indigenous australian or native american,yes,never married,1,TRUE,english
75,5.3,27,470,180,GB,university degree,urban,female,yes,19,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,1,TRUE,english
76,5.2,1,133,97,CA,university degree,urban,female,no,25,right,christian (other),heterosexual,asian,no,never married,2,TRUE,french
77,4.4,2,195,116,CA,high school,urban,male,yes,19,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,electrical engineering
78,5.15,2,230,143,IE,graduate degree,urban,male,yes,24,right,atheist,bisexual,white or indigenous australian or native american,no,never married,2,TRUE,chemical engineering
79,4.1,24,219,157,CA,high school,suburban,female,yes,21,right,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,environmental design
80,4.45,11,121,107,US,university degree,NA,male,yes,49,right,other,heterosexual,asian,yes,currently married,2,TRUE,economics
81,5.7,42,354,284,US,university degree,suburban,male,yes,61,right,other,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,business
82,3.5,764,162,130,US,university degree,urban,male,yes,23,right,agnostic,other,other,no,never married,3,TRUE,history
83,4.8,633,294,138,US,university degree,suburban,male,yes,24,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,criminology
84,4.35,27,84,95,SG,high school,urban,male,yes,16,right,agnostic,bisexual,asian,no,never married,2,TRUE,NA
85,3.15,48,887,309,IN,university degree,suburban,male,no,24,right,hindu,heterosexual,asian,yes,never married,1,TRUE,engineering
86,5.15,339,165,138,US,high school,urban,female,yes,17,right,agnostic,homosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
87,5.6,6,199,152,US,graduate degree,rural,male,yes,28,right,jewish,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,statistics
88,5.15,22,228,962,US,high school,suburban,female,yes,14,right,atheist,bisexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
89,5.15,31,448,418,GB,university degree,rural,female,yes,23,right,other,homosexual,white or indigenous australian or native american,yes,never married,4,TRUE,animal management
90,5.65,508,150,134,AE,NA,urban,female,no,18,right,muslim,bisexual,arab,no,never married,2,TRUE,medicine
91,5.25,4,351,169,US,less than high school,suburban,male,yes,16,right,jewish,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
92,5.8,6,203,195,GR,graduate degree,rural,male,no,33,left,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,1,TRUE,art
93,5.15,2,110,246,US,high school,suburban,female,yes,26,right,atheist,bisexual,white or indigenous australian or native american,no,never married,3,TRUE,linguistics
94,4.65,15,236,194,US,graduate degree,suburban,female,yes,33,both,christian (protestant),heterosexual,white or indigenous australian or native american,yes,currently married,1,TRUE,history
95,5.35,885,427,100,FI,high school,suburban,male,no,23,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,NA
96,5.25,3,129,93,GB,high school,urban,male,yes,17,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
97,4.6,948,377,509,US,less than high school,urban,female,yes,15,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
98,4.8,6,171,89,GB,less than high school,suburban,female,yes,14,right,christian (protestant),asexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
99,5.4,16,179,127,MK,university degree,urban,female,no,22,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,medicine
100,4.2,3,228,153,US,university degree,suburban,female,yes,64,right,other,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,education
101,4.45,2,411,404,US,university degree,urban,male,yes,69,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,1,TRUE,education
102,5.45,553,165,129,US,high school,urban,female,yes,44,right,christian (other),bisexual,white or indigenous australian or native american,yes,currently married,5,TRUE,NA
103,4.6,22,219,167,US,university degree,rural,female,yes,41,right,other,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,economics
104,5.7,150,139,133,AU,high school,urban,female,yes,46,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,4,TRUE,NA
105,4.4,1035,503,404,GB,graduate degree,urban,male,yes,42,left,atheist,homosexual,white or indigenous australian or native american,no,never married,1,TRUE,law
106,3.05,13,567,452,GB,less than high school,suburban,male,yes,15,both,agnostic,asexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
107,4.65,17,304,211,GB,graduate degree,suburban,female,yes,37,right,agnostic,heterosexual,white or indigenous australian or native american,no,currently married,5,TRUE,biomedical science
108,6.25,2350,213,131,PT,high school,suburban,male,no,19,right,christian (protestant),heterosexual,other,yes,never married,2,TRUE,communication networks engineering
109,4.15,50,378,186,AE,graduate degree,urban,male,no,32,right,atheist,homosexual,other,no,previously married,2,TRUE,psychology
110,4,3,254,133,US,high school,urban,male,yes,16,right,agnostic,heterosexual,asian,no,never married,3,TRUE,NA
111,5.9,5,214,181,US,graduate degree,suburban,male,yes,44,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,business
112,4.9,261,235,163,IN,university degree,urban,male,no,21,right,agnostic,heterosexual,asian,no,never married,2,TRUE,electronics engineering
113,3.5,8,252,94,CA,high school,suburban,female,yes,19,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,NA
114,4.3,6,225,251,US,graduate degree,urban,male,yes,29,right,other,heterosexual,asian,no,currently married,2,TRUE,history
115,4.65,8,319,337,BR,graduate degree,urban,male,no,40,right,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,medical doctor
116,5.9,1,169,120,US,high school,urban,other,yes,16,both,atheist,other,other,no,never married,3,TRUE,NA
117,5,2,417,176,GB,less than high school,NA,male,yes,15,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
118,5.25,47,244,241,GB,less than high school,suburban,male,yes,27,right,atheist,bisexual,white or indigenous australian or native american,no,currently married,3,TRUE,NA
119,4.55,17,236,129,US,university degree,urban,male,yes,24,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,1,TRUE,architecture
120,4.95,6,334,251,AU,high school,suburban,other,yes,21,right,agnostic,other,white or indigenous australian or native american,yes,never married,2,TRUE,it
121,5.25,37,290,215,TR,high school,urban,male,no,17,right,muslim,heterosexual,white or indigenous australian or native american,no,never married,1,TRUE,law
122,4.4,27,305,290,ZA,high school,suburban,male,no,17,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,1,TRUE,NA
123,4.65,8,208,307,US,high school,rural,male,yes,17,right,other,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
124,4.55,587,260,150,DK,high school,urban,male,no,17,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,astronomy
125,4.95,3,12503,165,US,university degree,suburban,male,yes,56,right,agnostic,heterosexual,white or indigenous australian or native american,no,currently married,3,TRUE,political science
126,5,11,123,137,CA,high school,suburban,male,yes,24,right,atheist,bisexual,white or indigenous australian or native american,yes,never married,2,TRUE,psychology
127,3.85,55,403,277,US,high school,suburban,male,yes,22,right,buddhist,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
128,4.8,35,309,168,US,less than high school,suburban,female,yes,14,right,agnostic,bisexual,white or indigenous australian or native american,no,never married,2,TRUE,have not attended yet
129,5.3,2,94,64,US,high school,suburban,male,yes,18,right,atheist,heterosexual,asian,no,never married,2,TRUE,NA
130,4.65,3,233,168,US,high school,suburban,female,yes,29,right,other,heterosexual,NA,no,currently married,1,TRUE,psychology
131,4.45,623,597,179,MY,high school,suburban,female,no,24,right,muslim,heterosexual,asian,no,never married,1,TRUE,business
132,5.25,30,454,235,CA,high school,urban,male,no,19,left,agnostic,heterosexual,asian,no,never married,3,TRUE,engineering transfer
133,4.85,38,679,389,NZ,university degree,suburban,male,yes,26,left,christian (protestant),heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,communications
134,5.15,2089,227,230,US,high school,urban,male,yes,20,right,atheist,bisexual,other,yes,never married,1,TRUE,computer science
135,5,9,217,338,US,high school,rural,male,yes,20,left,atheist,heterosexual,white or indigenous australian or native american,yes,never married,4,TRUE,mathematics
136,4.2,22,347,13134,NL,high school,suburban,male,yes,17,right,agnostic,bisexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
137,5.25,56,370,240,JP,graduate degree,rural,male,yes,48,left,atheist,heterosexual,white or indigenous australian or native american,no,currently married,3,TRUE,linguistics
138,3.7,2,188,117,US,less than high school,suburban,female,yes,16,right,christian (other),heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
139,4.15,32,222,174,US,high school,rural,female,yes,38,right,christian (other),heterosexual,white or indigenous australian or native american,yes,currently married,4,TRUE,NA
140,5.3,6,237,131,GB,high school,rural,female,yes,17,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,childcare
141,6.25,3,197,152,US,university degree,urban,female,yes,39,right,christian (other),heterosexual,white or indigenous australian or native american,no,currently married,3,TRUE,art
142,5,11,133,101,US,university degree,suburban,male,yes,19,right,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,neuroscience and computer science
143,4.8,28,217,129,BR,high school,suburban,male,no,26,right,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,NA
144,4.75,534,168,6,IL,graduate degree,rural,female,no,51,right,agnostic,heterosexual,asian,no,currently married,5,TRUE,education
145,5,77,360,244,BR,graduate degree,urban,male,no,31,right,other,heterosexual,white or indigenous australian or native american,no,currently married,0,TRUE,history
146,4.55,11,446,143,US,high school,suburban,male,yes,14,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,4,TRUE,NA
147,4.45,2,232,124,US,high school,rural,male,yes,14,right,atheist,other,other,no,never married,2,TRUE,NA
148,5.25,31,131,95,CA,high school,suburban,male,yes,18,both,atheist,homosexual,asian,no,never married,1,TRUE,engineering
149,5.4,57,166,154,IN,high school,suburban,male,no,17,right,atheist,heterosexual,asian,no,never married,1,TRUE,NA
150,5,38,525,167,US,high school,suburban,male,yes,45,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
151,5.4,499,165,136,CH,university degree,rural,male,no,23,right,atheist,bisexual,other,yes,never married,1,TRUE,economy
152,5.05,3,203,116,US,graduate degree,rural,male,yes,30,right,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,"religion, social work"
153,5.05,308,115,122,US,high school,urban,female,yes,32,right,christian (catholic),bisexual,white or indigenous australian or native american,yes,never married,4,TRUE,NA
154,5,1028,234,201,GB,university degree,rural,male,yes,28,right,other,heterosexual,white or indigenous australian or native american,no,currently married,4,TRUE,graphic design
155,4.35,18,238,212,CA,less than high school,urban,female,yes,14,right,agnostic,other,white or indigenous australian or native american,no,never married,1,TRUE,NA
156,5.05,7,203,194,US,high school,urban,female,yes,46,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,NA
157,5.75,8,357,321,US,high school,rural,female,yes,43,right,jewish,heterosexual,other,yes,currently married,2,TRUE,NA
158,5.5,153,256,360,CA,graduate degree,rural,female,yes,62,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,currently married,3,TRUE,sociology
159,4.1,4,187,200,AU,high school,urban,male,yes,18,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
160,4.3,31,189,101,FI,university degree,rural,male,no,28,right,other,heterosexual,white or indigenous australian or native american,no,never married,0,TRUE,english
161,3.3,8,207,112,US,university degree,urban,female,yes,20,right,christian (other),heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,anthropology
162,5.2,3,198,122,US,university degree,urban,male,no,23,right,agnostic,heterosexual,asian,no,never married,1,TRUE,biological sciences
163,4.65,3,302,181,US,less than high school,suburban,male,yes,16,right,christian (other),heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
164,5.25,4,272,151,DE,graduate degree,rural,male,no,27,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,aeronautics
165,5.05,39,308,175,GB,graduate degree,suburban,female,yes,46,right,agnostic,heterosexual,white or indigenous australian or native american,NA,currently married,2,TRUE,history
166,5.3,2,199,153,US,graduate degree,urban,male,yes,24,right,christian (catholic),homosexual,white or indigenous australian or native american,yes,never married,4,TRUE,accounting
167,4.95,3,280,174,CA,less than high school,urban,female,yes,14,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
168,4.55,11,497,212,AU,graduate degree,urban,male,yes,39,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,safety
169,4.25,25,300,125,BR,less than high school,urban,male,no,13,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
170,3.9,11,150,130,GB,high school,suburban,female,yes,18,right,christian (protestant),bisexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
171,5.1,3,276,190,US,high school,suburban,female,yes,28,right,christian (protestant),heterosexual,black,no,never married,4,TRUE,early childhood education
172,4.85,1222,266,157,ES,university degree,urban,male,no,30,right,atheist,bisexual,white or indigenous australian or native american,yes,never married,1,TRUE,psychology
173,4.25,5,251,331,US,graduate degree,suburban,male,yes,25,right,christian (protestant),NA,white or indigenous australian or native american,yes,never married,2,TRUE,economics
174,4.45,2,256,124,US,high school,suburban,male,yes,23,left,agnostic,heterosexual,asian,no,never married,3,TRUE,physics
175,4.3,13,203,132,US,high school,suburban,female,yes,16,both,christian (catholic),asexual,white or indigenous australian or native american,no,never married,3,TRUE,criminal psycology
176,3.5,2,119,103,IE,university degree,suburban,male,yes,26,right,atheist,bisexual,white or indigenous australian or native american,yes,never married,1,TRUE,economics
177,5.9,766,354,480,DE,high school,rural,male,no,33,right,other,heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,NA
178,4.95,24,150,146,US,university degree,suburban,male,yes,57,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,6,TRUE,biochemistry
179,4.25,1425,204,30602,US,high school,suburban,NA,yes,17,right,christian (other),heterosexual,white or indigenous australian or native american,no,never married,1,TRUE,NA
180,4.75,3,296,181,US,less than high school,suburban,male,yes,17,left,christian (catholic),heterosexual,other,no,never married,3,TRUE,NA
181,5.25,12,593,219,GR,graduate degree,suburban,male,no,29,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,arts
182,4.95,2,372,176,AU,less than high school,suburban,other,yes,17,right,other,bisexual,other,no,never married,3,TRUE,NA
183,3.6,3,351,126,ES,high school,suburban,male,no,20,right,atheist,bisexual,white or indigenous australian or native american,yes,never married,2,TRUE,psychology
184,5.05,1,140,97,US,less than high school,suburban,female,yes,15,right,agnostic,bisexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
185,4.85,582,251,189,NO,high school,suburban,male,no,21,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,NA
186,5.5,11,388,473,GB,high school,rural,male,yes,52,right,atheist,heterosexual,white or indigenous australian or native american,no,currently married,1,TRUE,catering
187,4.15,33,397,302,AU,university degree,suburban,female,yes,27,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,art history and medieval studies
188,5,3,117,197,US,high school,urban,female,yes,18,right,agnostic,bisexual,white or indigenous australian or native american,no,never married,3,TRUE,linguistics
189,5,3,138,124,CA,high school,suburban,male,yes,14,right,other,heterosexual,other,no,never married,3,TRUE,NA
190,3.1,18,711,524,PL,graduate degree,urban,male,no,24,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,applied linguistics- english and german
191,5.55,4,148,147,US,university degree,urban,female,yes,39,right,other,heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,veterinary science
192,5.7,28,207,192,ZA,high school,suburban,male,yes,16,both,christian (other),heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
193,4.35,2,292,117,GB,high school,suburban,female,yes,43,right,christian (other),heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,NA
194,5.05,2,149,160,US,university degree,urban,female,yes,30,right,atheist,other,white or indigenous australian or native american,yes,currently married,2,TRUE,anthropology
195,5,4,339,135,US,graduate degree,rural,female,yes,25,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,6,TRUE,mathematics and biology
196,4.95,216,102,73,CA,high school,suburban,male,yes,17,right,other,heterosexual,asian,no,never married,2,TRUE,NA
197,4.3,4,374,179,US,high school,urban,female,yes,51,right,agnostic,bisexual,white or indigenous australian or native american,no,previously married,3,TRUE,NA
198,5.5,2,243,249,GB,high school,urban,female,yes,36,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,1,TRUE,NA
199,5.4,3,113,175,SG,high school,urban,male,yes,25,right,buddhist,asexual,asian,no,never married,3,TRUE,NA
200,4.65,7,203,132,US,less than high school,suburban,female,no,16,left,agnostic,heterosexual,other,no,never married,2,TRUE,NA
201,3.2,31,295,221,US,high school,urban,male,yes,21,right,christian (other),heterosexual,other,yes,never married,4,TRUE,NA
202,5.55,5,181,121,AU,graduate degree,suburban,female,yes,44,left,agnostic,heterosexual,white or indigenous australian or native american,yes,previously married,2,TRUE,sociology
203,4.8,10,152,95,ID,high school,suburban,male,no,16,right,christian (protestant),heterosexual,asian,no,never married,3,TRUE,NA
204,5.5,1874,233,161,US,graduate degree,rural,other,yes,50,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,theatre
205,4.9,6,182,129,GB,university degree,rural,female,yes,28,right,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,computing
206,5,2,126,122,CA,less than high school,rural,other,yes,15,right,atheist,homosexual,white or indigenous australian or native american,no,never married,1,TRUE,NA
