year,id,age,sex,country,trick_treating
2015,2015_00066,44,Unspecified,NA,Yes
2015,2015_00067,54,Unspecified,NA,Yes
2015,2015_00068,38,Unspecified,NA,Yes
2015,2015_00069,38,Unspecified,NA,No
2015,2015_00070,37,Unspecified,NA,No
2015,2015_00071,35,Unspecified,NA,No
2015,2015_00072,43,Unspecified,NA,No
2015,2015_00073,33,Unspecified,NA,No
2015,2015_00074,13,Unspecified,NA,Yes
2015,2015_00075,51,Unspecified,NA,Yes
2015,2015_00076,33,Unspecified,NA,No
2015,2015_00077,70,Unspecified,NA,No
2015,2015_00078,46,Unspecified,NA,No
2015,2015_00079,51,Unspecified,NA,No
2015,2015_00080,44,Unspecified,NA,No
2015,2015_00081,41,Unspecified,NA,No
2015,2015_00082,47,Unspecified,NA,No
2015,2015_00083,46,Unspecified,NA,No
2015,2015_00084,NA,Unspecified,NA,No
2015,2015_00085,NA,Unspecified,NA,No
2015,2015_00086,43,Unspecified,NA,No
2015,2015_00087,43,Unspecified,NA,No
2015,2015_00088,36,Unspecified,NA,No
2015,2015_00089,70,Unspecified,NA,No
2015,2015_00090,19,Unspecified,NA,No
2015,2015_00091,32,Unspecified,NA,No
2015,2015_00092,35,Unspecified,NA,No
2015,2015_00093,27,Unspecified,NA,No
2015,2015_00094,43,Unspecified,NA,Yes
2015,2015_00095,45,Unspecified,NA,No
2015,2015_00096,25,Unspecified,NA,No
2015,2015_00097,33,Unspecified,NA,No
2015,2015_00098,36,Unspecified,NA,No
2015,2015_00099,32,Unspecified,NA,No
2015,2015_00100,51,Unspecified,NA,No
2015,2015_00101,36,Unspecified,NA,No
2015,2015_00102,26,Unspecified,NA,No
2015,2015_00103,59,Unspecified,NA,No
2015,2015_00104,32,Unspecified,NA,No
2015,2015_00105,39,Unspecified,NA,Yes
2015,2015_00106,61,Unspecified,NA,No
2015,2015_00107,31,Unspecified,NA,No
2015,2015_00108,42,Unspecified,NA,No
2015,2015_00109,33,Unspecified,NA,No
2015,2015_00110,42,Unspecified,NA,No
2015,2015_00111,52,Unspecified,NA,No
2015,2015_00112,33,Unspecified,NA,Yes
2015,2015_00113,38,Unspecified,NA,Yes
2015,2015_00114,46,Unspecified,NA,No
2015,2015_00115,31,Unspecified,NA,No
2015,2015_00116,34,Unspecified,NA,No
2015,2015_00117,37,Unspecified,NA,No
2015,2015_00118,23,Unspecified,NA,No
2015,2015_00119,46,Unspecified,NA,No
2015,2015_00120,42,Unspecified,NA,No
2015,2015_00121,40,Unspecified,NA,No
2015,2015_00122,NA,Unspecified,NA,No
2015,2015_00123,40,Unspecified,NA,No
2015,2015_00124,33,Unspecified,NA,No
2015,2015_00125,37,Unspecified,NA,No
2015,2015_00126,35,Unspecified,NA,No
2015,2015_00127,33,Unspecified,NA,No
2015,2015_00128,35,Unspecified,NA,No
2015,2015_00129,39,Unspecified,NA,No
2015,2015_00130,32,Unspecified,NA,No
2015,2015_00131,27,Unspecified,NA,No
2015,2015_00132,NA,Unspecified,NA,No
2015,2015_00133,41,Unspecified,NA,Yes
2015,2015_00134,55,Unspecified,NA,No
2015,2015_00135,32,Unspecified,NA,No
2015,2015_00136,37,Unspecified,NA,No
2015,2015_00137,13,Unspecified,NA,Yes
2015,2015_00138,36,Unspecified,NA,No
2015,2015_00139,39,Unspecified,NA,No
2015,2015_00140,38,Unspecified,NA,No
2015,2015_00141,47,Unspecified,NA,No
2015,2015_00142,46,Unspecified,NA,Yes
2015,2015_00143,33,Unspecified,NA,No
2015,2015_00144,45,Unspecified,NA,No
2015,2015_00145,31,Unspecified,NA,No
2015,2015_00146,44,Unspecified,NA,No
2015,2015_00147,40,Unspecified,NA,No
2015,2015_00148,33,Unspecified,NA,No
2015,2015_00149,45,Unspecified,NA,No
2015,2015_00150,38,Unspecified,NA,No
2015,2015_00151,13,Unspecified,NA,Yes
2015,2015_00152,46,Unspecified,NA,No
2015,2015_00153,38,Unspecified,NA,No
2015,2015_00154,53,Unspecified,NA,No
2015,2015_00155,33,Unspecified,NA,No
2015,2015_00156,12,Unspecified,NA,Yes
2015,2015_00157,33,Unspecified,NA,No
2015,2015_00158,40,Unspecified,NA,Yes
2015,2015_00159,51,Unspecified,NA,No
2015,2015_00160,37,Unspecified,NA,No
2015,2015_00161,32,Unspecified,NA,No
2015,2015_00162,NA,Unspecified,NA,Yes
2015,2015_00163,43,Unspecified,NA,No
2015,2015_00164,41,Unspecified,NA,No
2015,2015_00165,27,Unspecified,NA,No
2015,2015_00166,36,Unspecified,NA,No
2015,2015_00167,32,Unspecified,NA,No
2015,2015_00168,32,Unspecified,NA,No
2015,2015_00169,39,Unspecified,NA,No
2015,2015_00170,32,Unspecified,NA,No
2015,2015_00171,49,Unspecified,NA,No
2015,2015_00172,27,Unspecified,NA,No
2015,2015_00173,45,Unspecified,NA,No
2015,2015_00174,34,Unspecified,NA,No
2015,2015_00175,36,Unspecified,NA,No
2015,2015_00176,NA,Unspecified,NA,Yes
2015,2015_00177,12,Unspecified,NA,Yes
2015,2015_00178,12,Unspecified,NA,Yes
2015,2015_00179,50,Unspecified,NA,No
2015,2015_00180,13,Unspecified,NA,Yes
2015,2015_00181,12,Unspecified,NA,Yes
2015,2015_00182,59,Unspecified,NA,No
2015,2015_00183,36,Unspecified,NA,No
2015,2015_00184,46,Unspecified,NA,No
2015,2015_00185,46,Unspecified,NA,Yes
2015,2015_00186,47,Unspecified,NA,No
2015,2015_00187,55,Unspecified,NA,No
2015,2015_00188,38,Unspecified,NA,No
2015,2015_00189,33,Unspecified,NA,No
2015,2015_00190,NA,Unspecified,NA,No
2015,2015_00191,35,Unspecified,NA,Yes
2015,2015_00192,60,Unspecified,NA,No
2015,2015_00193,49,Unspecified,NA,No
2015,2015_00194,32,Unspecified,NA,No
2015,2015_00195,21,Unspecified,NA,No
2015,2015_00196,28,Unspecified,NA,No
2015,2015_00197,55,Unspecified,NA,No
2015,2015_00198,42,Unspecified,NA,No
2015,2015_00199,44,Unspecified,NA,No
2015,2015_00200,16,Unspecified,NA,Yes
2015,2015_00201,27,Unspecified,NA,No
2015,2015_00202,40,Unspecified,NA,Yes
2015,2015_00203,49,Unspecified,NA,No
2015,2015_00204,NA,Unspecified,NA,No
2015,2015_00205,39,Unspecified,NA,No
2015,2015_00206,53,Unspecified,NA,No
2015,2015_00207,35,Unspecified,NA,No
2015,2015_00208,51,Unspecified,NA,No
2015,2015_00209,50,Unspecified,NA,No
2015,2015_00210,56,Unspecified,NA,No
2015,2015_00211,58,Unspecified,NA,No
2015,2015_00212,49,Unspecified,NA,No
2015,2015_00213,49,Unspecified,NA,No
2015,2015_00214,49,Unspecified,NA,No
2015,2015_00215,NA,Unspecified,NA,No
2015,2015_00216,35,Unspecified,NA,No
2015,2015_00217,41,Unspecified,NA,No
2015,2015_00218,48,Unspecified,NA,No
2015,2015_00219,41,Unspecified,NA,No
2015,2015_00220,22,Unspecified,NA,No
2015,2015_00221,42,Unspecified,NA,No
2015,2015_00222,30,Unspecified,NA,No
2015,2015_00223,33,Unspecified,NA,No
2015,2015_00224,26,Unspecified,NA,No
2015,2015_00225,34,Unspecified,NA,No
2015,2015_00226,53,Unspecified,NA,No
2015,2015_00227,52,Unspecified,NA,No
2015,2015_00228,57,Unspecified,NA,No
2015,2015_00229,NA,Unspecified,NA,No
2015,2015_00230,33,Unspecified,NA,No
2015,2015_00231,34,Unspecified,NA,Yes
2015,2015_00232,32,Unspecified,NA,No
2015,2015_00233,39,Unspecified,NA,No
2015,2015_00234,6,Unspecified,NA,Yes
2015,2015_00235,58,Unspecified,NA,No
2015,2015_00236,22,Unspecified,NA,No
2015,2015_00237,6,Unspecified,NA,Yes
2015,2015_00238,29,Unspecified,NA,No
2015,2015_00239,46,Unspecified,NA,No
2015,2015_00240,64,Unspecified,NA,No
2015,2015_00241,42,Unspecified,NA,No
2015,2015_00242,55,Unspecified,NA,No
2015,2015_00243,48,Unspecified,NA,No
2015,2015_00244,39,Unspecified,NA,No
2015,2015_00245,30,Unspecified,NA,No
2015,2015_00246,46,Unspecified,NA,No
2015,2015_00247,35,Unspecified,NA,No
2015,2015_00248,30,Unspecified,NA,No
2015,2015_00249,45,Unspecified,NA,No
2015,2015_00250,38,Unspecified,NA,No
2015,2015_00251,42,Unspecified,NA,No
2015,2015_00252,64,Unspecified,NA,No
2015,2015_00253,35,Unspecified,NA,No
2015,2015_00254,30,Unspecified,NA,No
2015,2015_00255,64,Unspecified,NA,No
2015,2015_00256,NA,Unspecified,NA,No
2015,2015_00257,26,Unspecified,NA,Yes
2015,2015_00258,50,Unspecified,NA,No
2015,2015_00259,43,Unspecified,NA,No
2015,2015_00260,29,Unspecified,NA,No
2015,2015_00261,43,Unspecified,NA,Yes
2015,2015_00262,45,Unspecified,NA,No
2015,2015_00263,37,Unspecified,NA,No
2015,2015_00264,34,Unspecified,NA,No
2015,2015_00265,35,Unspecified,NA,No
2015,2015_00266,NA,Unspecified,NA,No
2015,2015_00267,53,Unspecified,NA,No
2015,2015_00268,37,Unspecified,NA,No
2015,2015_00269,45,Unspecified,NA,No
2015,2015_00270,32,Unspecified,NA,No
2015,2015_00271,40,Unspecified,NA,No
2015,2015_00272,60,Unspecified,NA,No
2015,2015_00273,58,Unspecified,NA,No
2015,2015_00274,NA,Unspecified,NA,No
2015,2015_00275,43,Unspecified,NA,Yes
2015,2015_00276,30,Unspecified,NA,No
2015,2015_00277,48,Unspecified,NA,No
2015,2015_00278,44,Unspecified,NA,No
2015,2015_00279,39,Unspecified,NA,No
2015,2015_00280,43,Unspecified,NA,No
2015,2015_00281,36,Unspecified,NA,No
2015,2015_00282,35,Unspecified,NA,Yes
2015,2015_00283,55,Unspecified,NA,No
2015,2015_00284,58,Unspecified,NA,No
2015,2015_00285,34,Unspecified,NA,No
2015,2015_00286,31,Unspecified,NA,No
2015,2015_00287,31,Unspecified,NA,No
2015,2015_00288,53,Unspecified,NA,No
2015,2015_00289,NA,Unspecified,NA,No
2015,2015_00290,26,Unspecified,NA,No
2015,2015_00291,40,Unspecified,NA,No
2015,2015_00292,44,Unspecified,NA,No
2015,2015_00293,43,Unspecified,NA,No
2015,2015_00294,42,Unspecified,NA,No
2015,2015_00295,40,Unspecified,NA,No
2015,2015_00296,26,Unspecified,NA,No
2015,2015_00297,51,Unspecified,NA,No
2015,2015_00298,58,Unspecified,NA,No
2015,2015_00299,46,Unspecified,NA,No
2015,2015_00300,52,Unspecified,NA,No
2015,2015_00301,26,Unspecified,NA,No
2015,2015_00302,54,Unspecified,NA,No
2015,2015_00303,43,Unspecified,NA,No
2015,2015_00304,41,Unspecified,NA,No
2015,2015_00305,32,Unspecified,NA,No
2015,2015_00306,45,Unspecified,NA,Yes
2015,2015_00307,34,Unspecified,NA,No
2015,2015_00308,40,Unspecified,NA,No
2015,2015_00309,54,Unspecified,NA,No
2015,2015_00310,36,Unspecified,NA,No
2015,2015_00311,30,Unspecified,NA,No
2015,2015_00312,55,Unspecified,NA,Yes
2015,2015_00313,47,Unspecified,NA,No
2015,2015_00314,41,Unspecified,NA,No
2015,2015_00315,38,Unspecified,NA,No
2015,2015_00316,27,Unspecified,NA,Yes
2015,2015_00317,40,Unspecified,NA,No
2015,2015_00318,27,Unspecified,NA,No
2015,2015_00319,31,Unspecified,NA,No
2015,2015_00320,36,Unspecified,NA,No
2015,2015_00321,32,Unspecified,NA,No
2015,2015_00322,33,Unspecified,NA,No
2015,2015_00323,32,Unspecified,NA,No
2015,2015_00324,36,Unspecified,NA,No
2015,2015_00325,30,Unspecified,NA,No
2015,2015_00326,27,Unspecified,NA,No
2015,2015_00327,24,Unspecified,NA,No
2015,2015_00328,36,Unspecified,NA,No
2015,2015_00329,33,Unspecified,NA,No
2015,2015_00330,48,Unspecified,NA,No
2015,2015_00331,40,Unspecified,NA,No
2015,2015_00332,NA,Unspecified,NA,No
2015,2015_00333,58,Unspecified,NA,No
2015,2015_00334,41,Unspecified,NA,No
2015,2015_00335,51,Unspecified,NA,No
2015,2015_00336,34,Unspecified,NA,No
2015,2015_00337,32,Unspecified,NA,No
2015,2015_00338,41,Unspecified,NA,No
2015,2015_00339,NA,Unspecified,NA,No
2015,2015_00340,48,Unspecified,NA,No
2015,2015_00341,48,Unspecified,NA,No
2015,2015_00342,32,Unspecified,NA,Yes
2015,2015_00343,44,Unspecified,NA,No
2015,2015_00344,31,Unspecified,NA,No
2015,2015_00345,39,Unspecified,NA,No
2015,2015_00346,44,Unspecified,NA,No
2015,2015_00347,31,Unspecified,NA,No
2015,2015_00348,41,Unspecified,NA,Yes
2015,2015_00349,32,Unspecified,NA,No
2015,2015_00350,40,Unspecified,NA,No
2015,2015_00351,NA,Unspecified,NA,No
2015,2015_00352,8,Unspecified,NA,Yes
2015,2015_00353,44,Unspecified,NA,No
2015,2015_00354,34,Unspecified,NA,No
2015,2015_00355,44,Unspecified,NA,No
2015,2015_00356,43,Unspecified,NA,Yes
2015,2015_00357,39,Unspecified,NA,No
2015,2015_00358,44,Unspecified,NA,No
2015,2015_00359,38,Unspecified,NA,Yes
2015,2015_00360,22,Unspecified,NA,No
2015,2015_00361,50,Unspecified,NA,No
2015,2015_00362,40,Unspecified,NA,No
2015,2015_00363,NA,Unspecified,NA,No
2015,2015_00364,37,Unspecified,NA,No
2015,2015_00365,30,Unspecified,NA,No
2015,2015_00366,42,Unspecified,NA,No
2015,2015_00367,39,Unspecified,NA,Yes
2015,2015_00368,NA,Unspecified,NA,No
2015,2015_00369,43,Unspecified,NA,No
2015,2015_00370,44,Unspecified,NA,No
2015,2015_00371,59,Unspecified,NA,No
2015,2015_00372,27,Unspecified,NA,No
2015,2015_00373,30,Unspecified,NA,No
2015,2015_00374,45,Unspecified,NA,No
2015,2015_00375,54,Unspecified,NA,No
2015,2015_00376,45,Unspecified,NA,No
2015,2015_00377,20,Unspecified,NA,Yes
2015,2015_00378,NA,Unspecified,NA,Yes
2015,2015_00379,28,Unspecified,NA,No
2015,2015_00380,NA,Unspecified,NA,No
2015,2015_00381,35,Unspecified,NA,No
2015,2015_00382,58,Unspecified,NA,No
2015,2015_00383,43,Unspecified,NA,No
2015,2015_00384,46,Unspecified,NA,No
2015,2015_00385,39,Unspecified,NA,No
2015,2015_00386,15,Unspecified,NA,No
2015,2015_00387,NA,Unspecified,NA,No
2015,2015_00388,29,Unspecified,NA,No
2015,2015_00389,32,Unspecified,NA,Yes
2015,2015_00390,50,Unspecified,NA,No
2015,2015_00391,24,Unspecified,NA,No
2015,2015_00392,59,Unspecified,NA,No
2015,2015_00393,57,Unspecified,NA,No
2015,2015_00394,56,Unspecified,NA,No
2015,2015_00395,44,Unspecified,NA,No
2015,2015_00396,48,Unspecified,NA,No
2015,2015_00397,31,Unspecified,NA,No
2015,2015_00398,NA,Unspecified,NA,No
2015,2015_00399,16,Unspecified,NA,No
2015,2015_00400,50,Unspecified,NA,No
2015,2015_00401,45,Unspecified,NA,No
2015,2015_00402,43,Unspecified,NA,Yes
2015,2015_00403,25,Unspecified,NA,No
2015,2015_00404,35,Unspecified,NA,No
2015,2015_00405,46,Unspecified,NA,No
2015,2015_00406,50,Unspecified,NA,No
2015,2015_00407,43,Unspecified,NA,No
2015,2015_00408,34,Unspecified,NA,No
2015,2015_00409,32,Unspecified,NA,No
2015,2015_00410,44,Unspecified,NA,No
2015,2015_00411,36,Unspecified,NA,No
2015,2015_00412,45,Unspecified,NA,Yes
2015,2015_00413,31,Unspecified,NA,No
2015,2015_00414,26,Unspecified,NA,No
2015,2015_00415,38,Unspecified,NA,No
2015,2015_00416,47,Unspecified,NA,No
2015,2015_00417,30,Unspecified,NA,No
2015,2015_00418,49,Unspecified,NA,No
2015,2015_00419,36,Unspecified,NA,No
2015,2015_00420,29,Unspecified,NA,No
2015,2015_00421,19,Unspecified,NA,No
2015,2015_00422,55,Unspecified,NA,No
2015,2015_00423,27,Unspecified,NA,No
2015,2015_00424,24,Unspecified,NA,No
2015,2015_00425,NA,Unspecified,NA,No
2015,2015_00426,NA,Unspecified,NA,No
2015,2015_00427,42,Unspecified,NA,No
2015,2015_00428,42,Unspecified,NA,Yes
2015,2015_00429,40,Unspecified,NA,No
2015,2015_00430,NA,Unspecified,NA,Yes
2015,2015_00431,NA,Unspecified,NA,No
2015,2015_00432,43,Unspecified,NA,No
2015,2015_00433,42,Unspecified,NA,No
2015,2015_00434,19,Unspecified,NA,No
2015,2015_00435,21,Unspecified,NA,No
2015,2015_00436,34,Unspecified,NA,No
2015,2015_00437,50,Unspecified,NA,No
2015,2015_00438,54,Unspecified,NA,No
2015,2015_00439,19,Unspecified,NA,No
2015,2015_00440,36,Unspecified,NA,No
2015,2015_00441,32,Unspecified,NA,No
2015,2015_00442,45,Unspecified,NA,No
2015,2015_00443,28,Unspecified,NA,No
2015,2015_00444,41,Unspecified,NA,No
2015,2015_00445,27,Unspecified,NA,No
2015,2015_00446,37,Unspecified,NA,No
2015,2015_00447,34,Unspecified,NA,No
2015,2015_00448,35,Unspecified,NA,No
2015,2015_00449,20,Unspecified,NA,No
2015,2015_00450,36,Unspecified,NA,No
2015,2015_00451,71,Unspecified,NA,No
2015,2015_00452,48,Unspecified,NA,No
2015,2015_00453,47,Unspecified,NA,No
2015,2015_00454,41,Unspecified,NA,Yes
2015,2015_00455,58,Unspecified,NA,No
2015,2015_00456,37,Unspecified,NA,No
2015,2015_00457,41,Unspecified,NA,No
2015,2015_00458,45,Unspecified,NA,No
2015,2015_00459,42,Unspecified,NA,No
2015,2015_00460,46,Unspecified,NA,No
2015,2015_00461,NA,Unspecified,NA,No
2015,2015_00462,30,Unspecified,NA,No
2015,2015_00463,39,Unspecified,NA,No
2015,2015_00464,42,Unspecified,NA,Yes
2015,2015_00465,75,Unspecified,NA,No
2015,2015_00466,42,Unspecified,NA,No
2015,2015_00467,28,Unspecified,NA,No
2015,2015_00468,45,Unspecified,NA,No
2015,2015_00469,32,Unspecified,NA,No
2015,2015_00470,34,Unspecified,NA,No
2015,2015_00471,32,Unspecified,NA,No
2015,2015_00472,27,Unspecified,NA,No
2015,2015_00473,47,Unspecified,NA,No
2015,2015_00474,59,Unspecified,NA,No
2015,2015_00475,37,Unspecified,NA,No
2015,2015_00476,33,Unspecified,NA,No
2015,2015_00477,46,Unspecified,NA,No
2015,2015_00478,28,Unspecified,NA,No
2015,2015_00479,51,Unspecified,NA,No
2015,2015_00480,46,Unspecified,NA,No
2015,2015_00481,23,Unspecified,NA,No
2015,2015_00482,33,Unspecified,NA,No
2015,2015_00483,33,Unspecified,NA,No
2015,2015_00484,61,Unspecified,NA,No
2015,2015_00485,36,Unspecified,NA,No
2015,2015_00486,36,Unspecified,NA,No
2015,2015_00487,29,Unspecified,NA,No
2015,2015_00488,40,Unspecified,NA,No
2015,2015_00489,47,Unspecified,NA,Yes
2015,2015_00490,35,Unspecified,NA,Yes
2015,2015_00491,45,Unspecified,NA,No
2015,2015_00492,46,Unspecified,NA,No
2015,2015_00493,NA,Unspecified,NA,No
2015,2015_00494,39,Unspecified,NA,No
2015,2015_00495,37,Unspecified,NA,Yes
2015,2015_00496,31,Unspecified,NA,No
2015,2015_00497,40,Unspecified,NA,No
2015,2015_00498,42,Unspecified,NA,Yes
2015,2015_00499,55,Unspecified,NA,No
2015,2015_00500,40,Unspecified,NA,No
2015,2015_00501,57,Unspecified,NA,No
2015,2015_00502,43,Unspecified,NA,No
2015,2015_00503,28,Unspecified,NA,No
2015,2015_00504,50,Unspecified,NA,No
2015,2015_00505,51,Unspecified,NA,No
2015,2015_00506,44,Unspecified,NA,No
2015,2015_00507,NA,Unspecified,NA,No
2015,2015_00508,50,Unspecified,NA,No
2015,2015_00509,35,Unspecified,NA,No
2015,2015_00510,31,Unspecified,NA,No
2015,2015_00511,50,Unspecified,NA,No
2015,2015_00512,30,Unspecified,NA,No
2015,2015_00513,32,Unspecified,NA,No
2015,2015_00514,56,Unspecified,NA,No
2015,2015_00515,34,Unspecified,NA,No
2015,2015_00516,NA,Unspecified,NA,No
2015,2015_00517,45,Unspecified,NA,No
2015,2015_00518,30,Unspecified,NA,No
2015,2015_00519,31,Unspecified,NA,No
2015,2015_00520,36,Unspecified,NA,No
2015,2015_00521,18,Unspecified,NA,No
2015,2015_00522,45,Unspecified,NA,No
2015,2015_00523,29,Unspecified,NA,No
2015,2015_00524,17,Unspecified,NA,Yes
2015,2015_00525,17,Unspecified,NA,Yes
2015,2015_00526,35,Unspecified,NA,No
2015,2015_00527,17,Unspecified,NA,No
2015,2015_00528,17,Unspecified,NA,No
2015,2015_00529,45,Unspecified,NA,No
2015,2015_00530,52,Unspecified,NA,No
2015,2015_00531,18,Unspecified,NA,No
2015,2015_00532,18,Unspecified,NA,Yes
2015,2015_00533,43,Unspecified,NA,Yes
2015,2015_00534,18,Unspecified,NA,Yes
2015,2015_00535,18,Unspecified,NA,Yes
2015,2015_00536,37,Unspecified,NA,No
2015,2015_00537,19,Unspecified,NA,No
2015,2015_00538,35,Unspecified,NA,No
2015,2015_00539,40,Unspecified,NA,No
2015,2015_00540,18,Unspecified,NA,No
2015,2015_00541,21,Unspecified,NA,No
2015,2015_00542,18,Unspecified,NA,No
2015,2015_00543,18,Unspecified,NA,No
2015,2015_00544,18,Unspecified,NA,Yes
2015,2015_00545,47,Unspecified,NA,No
2015,2015_00546,18,Unspecified,NA,No
2015,2015_00547,18,Unspecified,NA,No
2015,2015_00548,29,Unspecified,NA,No
2015,2015_00549,18,Unspecified,NA,No
2015,2015_00550,19,Unspecified,NA,No
2015,2015_00551,43,Unspecified,NA,No
2015,2015_00552,NA,Unspecified,NA,No
2015,2015_00553,NA,Unspecified,NA,No
2015,2015_00554,47,Unspecified,NA,No
2015,2015_00555,64,Unspecified,NA,No
2015,2015_00556,26,Unspecified,NA,No
2015,2015_00557,50,Unspecified,NA,No
2015,2015_00558,45,Unspecified,NA,No
2015,2015_00559,30,Unspecified,NA,No
2015,2015_00560,30,Unspecified,NA,No
2015,2015_00561,38,Unspecified,NA,No
2015,2015_00562,56,Unspecified,NA,No
2015,2015_00563,35,Unspecified,NA,No
2015,2015_00564,63,Unspecified,NA,No
2015,2015_00565,50,Unspecified,NA,No
2015,2015_00566,47,Unspecified,NA,No
2015,2015_00567,46,Unspecified,NA,No
2015,2015_00568,24,Unspecified,NA,No
2015,2015_00569,42,Unspecified,NA,No
2015,2015_00570,50,Unspecified,NA,No
2015,2015_00571,46,Unspecified,NA,No
2015,2015_00572,37,Unspecified,NA,No
2015,2015_00573,32,Unspecified,NA,No
2015,2015_00574,46,Unspecified,NA,No
2015,2015_00575,37,Unspecified,NA,No
2015,2015_00576,30,Unspecified,NA,No
2015,2015_00577,48,Unspecified,NA,No
2015,2015_00578,44,Unspecified,NA,No
2015,2015_00579,44,Unspecified,NA,No
2015,2015_00580,26,Unspecified,NA,No
2015,2015_00581,35,Unspecified,NA,No
2015,2015_00582,54,Unspecified,NA,No
2015,2015_00583,26,Unspecified,NA,No
2015,2015_00584,44,Unspecified,NA,No
2015,2015_00585,65,Unspecified,NA,No
2015,2015_00586,58,Unspecified,NA,No
2015,2015_00587,58,Unspecified,NA,No
2015,2015_00588,44,Unspecified,NA,No
2015,2015_00589,34,Unspecified,NA,No
2015,2015_00590,62,Unspecified,NA,No
2015,2015_00591,46,Unspecified,NA,No
2015,2015_00592,29,Unspecified,NA,No
2015,2015_00593,33,Unspecified,NA,No
2015,2015_00594,45,Unspecified,NA,No
2015,2015_00595,22,Unspecified,NA,Yes
2015,2015_00596,39,Unspecified,NA,Yes
2015,2015_00597,41,Unspecified,NA,No
2015,2015_00598,43,Unspecified,NA,No
2015,2015_00599,29,Unspecified,NA,No
2015,2015_00600,48,Unspecified,NA,No
2015,2015_00601,18,Unspecified,NA,No
2015,2015_00602,45,Unspecified,NA,No
2015,2015_00603,42,Unspecified,NA,No
2015,2015_00604,38,Unspecified,NA,No
2015,2015_00605,69,Unspecified,NA,No
2015,2015_00606,35,Unspecified,NA,No
2015,2015_00607,31,Unspecified,NA,No
2015,2015_00608,42,Unspecified,NA,No
2015,2015_00609,65,Unspecified,NA,No
2015,2015_00610,46,Unspecified,NA,No
2015,2015_00611,NA,Unspecified,NA,No
2015,2015_00612,36,Unspecified,NA,No
2015,2015_00613,54,Unspecified,NA,Yes
2015,2015_00614,47,Unspecified,NA,No
2015,2015_00615,30,Unspecified,NA,No
2015,2015_00616,38,Unspecified,NA,No
2015,2015_00617,46,Unspecified,NA,No
2015,2015_00618,47,Unspecified,NA,No
2015,2015_00619,46,Unspecified,NA,No
2015,2015_00620,33,Unspecified,NA,No
2015,2015_00621,42,Unspecified,NA,Yes
2015,2015_00622,31,Unspecified,NA,No
2015,2015_00623,42,Unspecified,NA,Yes
2015,2015_00624,33,Unspecified,NA,No
2015,2015_00625,37,Unspecified,NA,No
2015,2015_00626,27,Unspecified,NA,No
